,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_num,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,hadevelopt,housing_psa,juris_desc,jurisdiction_code,ky_cd,lat_lon.latitude,lat_lon.longitude,latitude,law_cat_cd,loc_of_occur_desc,longitude,ofns_desc,parks_nm,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,station_name,susp_age_group,susp_race,susp_sex,transit_district,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd
31,123,STATEN ISLAND,2018-01-01T00:00:00.000,00:00:00,250008907,2018-01-08T00:00:00.000,15:00:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.538431245,-74.237412577,40.538431245000034,MISDEMEANOR,,-74.23741257699999,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO STATEN ISLAND,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,2018-01-08T00:00:00.000,,,,,,UNKNOWN,UNKNOWN,E,918261.0,135528.0
32,103,QUEENS,2018-01-01T00:00:00.000,12:00:00,978798358,2018-04-13T00:00:00.000,14:30:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.71059077,-73.783554433,40.710590770000074,MISDEMEANOR,,-73.78355443299995,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO QUEENS SOUTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,2018-04-13T00:00:00.000,,,,,,UNKNOWN,UNKNOWN,E,1044257.0,198235.0
33,79,BROOKLYN,2018-01-01T00:00:00.000,00:01:00,546275539,2018-07-27T00:00:00.000,23:59:00,COMPLETED,LAFAYETTE,483,N.Y. HOUSING POLICE,2.0,109,40.689048255,-73.958613378,40.689048255000046,FELONY,INSIDE,-73.95861337799995,GRAND LARCENY,,PATROL BORO BKLYN NORTH,422.0,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - PUBLIC HOUSING,2018-09-17T00:00:00.000,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,F,995728.0,190315.0
34,77,BROOKLYN,2018-01-01T00:00:00.000,14:55:00,705253711,2018-01-01T00:00:00.000,15:05:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,110,40.676103192,-73.949914947,40.67610319200002,FELONY,,-73.94991494699997,GRAND LARCENY OF MOTOR VEHICLE,,PATROL BORO BKLYN NORTH,441.0,"LARCENY,GRAND OF AUTO",STREET,2018-01-01T00:00:00.000,,,,,,25-44,BLACK,M,998143.0,185600.0
35,70,BROOKLYN,2018-01-01T00:00:00.000,03:40:00,553946025,2018-01-01T00:00:00.000,03:45:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,578,40.65080809,-73.958817288,40.650808090000055,VIOLATION,FRONT OF,-73.95881728799998,HARRASSMENT 2,,PATROL BORO BKLYN SOUTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",OTHER,2018-01-01T00:00:00.000,,UNKNOWN,UNKNOWN,U,,18-24,BLACK,M,995678.0,176383.0
36,23,MANHATTAN,2018-01-01T00:00:00.000,00:01:00,677485702,2018-01-01T00:00:00.000,23:59:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,112,40.790601054,-73.939363092,40.79060105400004,FELONY,INSIDE,-73.93936309199995,THEFT-FRAUD,,PATROL BORO MAN NORTH,739.0,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,2018-08-12T00:00:00.000,,UNKNOWN,UNKNOWN,U,,25-44,BLACK,M,1001041.0,227317.0
37,81,BROOKLYN,2018-01-01T00:00:00.000,22:00:00,698124125,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.679170549,-73.92696113,40.67917054900005,MISDEMEANOR,REAR OF,-73.92696112999994,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN NORTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMMERCIAL BUILDING,2018-02-08T00:00:00.000,,,,,,UNKNOWN,UNKNOWN,E,1004509.0,186722.0
38,40,BRONX,2018-01-01T00:00:00.000,14:00:00,820535694,2018-01-01T00:00:00.000,14:05:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,106,40.801520608000004,-73.914918274,40.80152060800003,FELONY,INSIDE,-73.91491827399994,FELONY ASSAULT,,PATROL BORO BRONX,109.0,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,2018-03-10T00:00:00.000,,25-44,BLACK,M,,25-44,BLACK,F,1007806.0,231301.0
39,69,BROOKLYN,2018-01-01T00:00:00.000,08:15:00,891103158,2018-01-01T00:00:00.000,08:30:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,107,40.630990895,-73.90068153899999,40.630990895000025,FELONY,INSIDE,-73.90068153899993,BURGLARY,,PATROL BORO BKLYN SOUTH,221.0,"BURGLARY,RESIDENCE,DAY",RESIDENCE - APT. HOUSE,2018-01-01T00:00:00.000,,UNKNOWN,UNKNOWN,U,,65+,BLACK,F,1011818.0,169176.0
40,103,QUEENS,2018-01-01T00:00:00.000,12:00:00,323855517,2018-10-12T00:00:00.000,12:00:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.705865003,-73.797531624,40.70586500300004,MISDEMEANOR,FRONT OF,-73.79753162399999,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO QUEENS SOUTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",,2018-10-12T00:00:00.000,,,,,,UNKNOWN,UNKNOWN,D,1040386.0,196504.0
41,46,BRONX,2018-01-01T00:00:00.000,20:30:00,313747935,2018-01-01T00:00:00.000,20:32:00,COMPLETED,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,"37,726",N.Y. HOUSING POLICE,2.0,105,40.852901335,-73.918207035,40.85290133500007,FELONY,INSIDE,-73.91820703499997,ROBBERY,,PATROL BORO BRONX,388.0,"ROBBERY,RESIDENTIAL COMMON AREA",RESIDENCE - PUBLIC HOUSING,2018-01-02T00:00:00.000,,UNKNOWN,BLACK HISPANIC,M,,45-64,BLACK HISPANIC,F,1006878.0,250020.0
42,46,BRONX,2018-01-01T00:00:00.000,02:35:00,807836023,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,578,40.846510852,-73.92098713600001,40.846510852000044,VIOLATION,INSIDE,-73.92098713599995,HARRASSMENT 2,,PATROL BORO BRONX,637.0,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,2018-01-01T00:00:00.000,,<18,BLACK,F,,<18,BLACK,F,1006111.0,247691.0
43,42,BRONX,2018-01-01T00:00:00.000,11:00:00,330217946,2018-01-01T00:00:00.000,11:05:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,578,40.835690152,-73.892523162,40.83569015200004,VIOLATION,INSIDE,-73.89252316199997,HARRASSMENT 2,,PATROL BORO BRONX,637.0,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,2018-01-01T00:00:00.000,,45-64,BLACK,M,,25-44,UNKNOWN,F,1013991.0,243757.0
44,114,QUEENS,2018-01-01T00:00:00.000,01:45:00,364634031,2018-01-01T00:00:00.000,01:55:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,344,40.760081903,-73.924721025,40.76008190300007,MISDEMEANOR,INSIDE,-73.92472102499994,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO QUEENS NORTH,114.0,OBSTR BREATH/CIRCUL,STREET,2018-01-01T00:00:00.000,,25-44,BLACK HISPANIC,M,,25-44,WHITE HISPANIC,F,1005105.0,216201.0
45,105,QUEENS,2018-01-01T00:00:00.000,11:00:00,775149179,2018-01-01T00:00:00.000,11:15:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,578,40.721842568,-73.730676662,40.721842568000056,VIOLATION,INSIDE,-73.73067666199995,HARRASSMENT 2,,PATROL BORO QUEENS SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2018-01-02T00:00:00.000,,25-44,BLACK,M,,25-44,BLACK,F,1058904.0,202375.0
46,24,MANHATTAN,2018-01-01T00:00:00.000,00:01:00,458712763,2018-04-28T00:00:00.000,14:00:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,351,40.778319169,-73.981872153,40.77831916900004,MISDEMEANOR,FRONT OF,-73.98187215299998,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO MAN NORTH,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,2018-04-28T00:00:00.000,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,E,989271.0,222837.0
47,44,BRONX,2018-01-01T00:00:00.000,02:00:00,606904427,,,COMPLETED,,,N.Y. POLICE DEPT,0.0,344,40.831240768,-73.91917319,40.83124076800004,MISDEMEANOR,INSIDE,-73.91917318999998,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BRONX,101.0,ASSAULT 3,RESIDENCE - APT. HOUSE,2018-01-29T00:00:00.000,,25-44,WHITE HISPANIC,F,,25-44,UNKNOWN,M,1006618.0,242128.0
48,25,MANHATTAN,2018-01-01T00:00:00.000,02:35:00,818901174,2018-01-01T00:00:00.000,02:47:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,344,40.797189389,-73.93609932,40.79718938900004,MISDEMEANOR,,-73.93609931999998,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN NORTH,113.0,"MENACING,UNCLASSIFIED",STREET,2018-01-03T00:00:00.000,,UNKNOWN,UNKNOWN,F,,25-44,WHITE,M,1001943.0,229718.0
49,34,MANHATTAN,2018-01-01T00:00:00.000,16:03:00,740232611,2018-01-26T00:00:00.000,15:50:00,COMPLETED,,,N.Y. POLICE DEPT,0.0,361,40.866418569000004,-73.921556421,40.866418569000075,MISDEMEANOR,INSIDE,-73.92155642099993,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO MAN NORTH,639.0,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,2018-01-26T00:00:00.000,,UNKNOWN,BLACK HISPANIC,M,,45-64,WHITE HISPANIC,F,1005947.0,254944.0
